itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:11:37 Started server on 0.0.0.0:5000
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:11:37 Started server on 0.0.0.0:5000
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:11:37 Started server on 0.0.0.0:5000
itu-disys2021-miniproject3-better2-1         | 2021/11/30 11:11:37 Starting to set up bidder
itu-disys2021-miniproject3-better2-1         | 2021/11/30 11:11:37 Starting to dial all nodes
itu-disys2021-miniproject3-better2-1         | 2021/11/30 11:11:37 Starting the bidding machine
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:11:37 GetResult: highest bid is 0 by server, lol make a bid man
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:11:37 GetResult: highest bid is 0 by server, lol make a bid man
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:11:37 GetResult: highest bid is 0 by server, lol make a bid man
itu-disys2021-miniproject3-better2-1         | 2021/11/30 11:11:37 Client is going to make a new highest bid of 1
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:11:37 MakeBid: A new highest bid of 1 from Alice has beaten the old bid of 0 from server, lol make a bid man!
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:11:37 MakeBid: A new highest bid of 1 from Alice has beaten the old bid of 0 from server, lol make a bid man!
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:11:37 MakeBid: A new highest bid of 1 from Alice has beaten the old bid of 0 from server, lol make a bid man!
itu-disys2021-miniproject3-better1-1         | 2021/11/30 11:11:37 Starting to set up bidder
itu-disys2021-miniproject3-better1-1         | 2021/11/30 11:11:37 Starting to dial all nodes
itu-disys2021-miniproject3-better1-1         | 2021/11/30 11:11:37 Starting the bidding machine
itu-disys2021-miniproject3-auctionserver2-1  | 2021/11/30 11:11:37 GetResult: highest bid is 1 by Alice
itu-disys2021-miniproject3-auctionserver3-1  | 2021/11/30 11:11:37 GetResult: highest bid is 1 by Alice
itu-disys2021-miniproject3-auctionserver1-1  | 2021/11/30 11:11:37 GetResult: highest bid is 1 by Alice
